Country,Location,Latitude,Longitude
Argentina,Aeropuerto Ezeiza,-34.8222,-58.5358
Argentina,Aeropuerto Ezeiza,-34.8222,-58.5358
Argentina,Aeropuerto Ezeiza,-34.8222,-58.5358
Argentina,Aeropuerto Ezeiza,-34.8222,-58.5358
Argentina,Aeropuerto Ezeiza,-34.8222,-58.5358
Argentina,Aeropuerto MDZ,-32.8317,-68.7929
Argentina,Aeropuerto MDZ,-32.8317,-68.7929
Peru,Arequipa,-16.409,-71.5375
Peru,Arequipa,-16.409,-71.5375
Uruguay,Artigas,-30.4,-56.4667
Uruguay,Artigas,-30.4,-56.4667
Paraguay,Asuncion,-25.2637,-57.5759
Paraguay,Asuncion,-25.2637,-57.5759
Paraguay,Asuncion,-25.2637,-57.5759
Paraguay,Asuncion,-25.2637,-57.5759
Paraguay,Asuncion,-25.2637,-57.5759
Paraguay,Asuncion,-25.2637,-57.5759
Paraguay,Asuncion,-25.2637,-57.5759
Paraguay,Asuncion,-25.2637,-57.5759
Paraguay,Asuncion,-25.2637,-57.5759
Paraguay,Asuncion,-25.2637,-57.5759
Paraguay,Asuncion,-25.2637,-57.5759
Paraguay,Asuncion,-25.2637,-57.5759
Argentina,Bahia Blanca,-38.7196,-62.2724
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
Argentina,Buenos Aires,-34.6037,-58.3816
