Location,Latitude,Longitude
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Artigas,-30.4,-56.4667
Artigas,-30.4,-56.4667
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Rio Parana,-32.0,-60.0
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Cordoba,-31.4201,-64.1888
Cordoba,-31.4201,-64.1888
Cordoba,-31.4201,-64.1888
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Santiago,-33.4489,-70.6693
Santiago,-33.4489,-70.6693
Santiago,-33.4489,-70.6693
Santiago,-33.4489,-70.6693
Santiago,-33.4489,-70.6693
Santiago,-33.4489,-70.6693
Santiago,-33.4489,-70.6693
Santiago,-33.4489,-70.6693
Santiago,-33.4489,-70.6693
Santiago,-33.4489,-70.6693
Santiago,-33.4489,-70.6693
Santiago,-33.4489,-70.6693
Santiago,-33.4489,-70.6693
Santiago,-33.4489,-70.6693
"Rio Mayo, Chubut",-45.6885,-70.2577
"Rio Mayo, Chubut",-45.6885,-70.2577
"Rio Mayo, Chubut",-45.6885,-70.2577
Santiago,-33.4489,-70.6693
San José de Maipo,-33.6404,-70.3515
San José de Maipo,-33.6404,-70.3515
San José de Maipo,-33.6404,-70.3515
Santiago,-33.4489,-70.6693
Santiago,-33.4489,-70.6693
Rio de Janeiro,-22.9068,-43.1729
Rio de Janeiro,-22.9068,-43.1729
Rio de Janeiro,-22.9068,-43.1729
Natal,-5.7945,-35.211
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Santiago,-33.4489,-70.6693
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Iguazu,-25.5991,-54.5736
Iguazu,-25.5991,-54.5736
Iguazu,-25.5991,-54.5736
Iguazu,-25.5991,-54.5736
Iguazu,-25.5991,-54.5736
Iguazu,-25.5991,-54.5736
Catamarca,-28.4696,-65.7852
Catamarca,-28.4696,-65.7852
Clorinda,-25.2846,-57.7185
Clorinda,-25.2846,-57.7185
Asuncion,-25.2637,-57.5759
Asuncion,-25.2637,-57.5759
"Washington, DC",38.9072,-77.0369
"Washington, DC",38.9072,-77.0369
Roma,41.9028,12.4964
Roma,41.9028,12.4964
San Jose,9.9281,-84.0907
San Jose,9.9281,-84.0907
Oruro,-17.9833,-67.15
Oruro,-17.9833,-67.15
Cochabamba,-17.3895,-66.1568
Mendoza,-32.8895,-68.8458
Mendoza,-32.8895,-68.8458
Santa Cruz,-17.7833,-63.1821
La Paz,-16.5,-68.15
Formosa,-26.1849,-58.1731
Llallagua,-18.4243,-66.5839
Llallagua,-18.4243,-66.5839
Llallagua,-18.4243,-66.5839
Llallagua,-18.4243,-66.5839
Paris,48.8566,2.3522
Lisbon,38.7223,-9.1393
Madrid,40.4168,-3.7038
Cipolletti,-38.9339,-67.9903
Puerto Iguazu,-25.5991,-54.5736
Parana,-31.7319,-60.5238
Lima,-12.0464,-77.0428
Arequipa,-16.409,-71.5375
Nueva Palmira,-33.876,-58.4118
Rio,-22.9068,-43.1729
Passo Fundo/RS,-28.2636,-52.4064
Porto Alegre,-30.0346,-51.2177
Uruguaiana,-29.7547,-57.0882
Foz do Iguacu,-25.5163,-54.5854
"Colonia La Matanza, Chaco",-27.3,-61.9
Posadas,-27.3621,-55.9009
La Plata,-34.9214,-57.9544
Cordoba (pcia),-31.4201,-64.1888
Rosario,-32.9442,-60.6505
Paso de los Libres/Uruguaiana,-29.7131,-57.0894
Paso de Los Libertadores/MZ,-32.8232,-70.0845
Las Cuevas/MZ,-32.8347,-70.0833
Aeropuerto MDZ,-32.8317,-68.7929
Aeropuerto Ezeiza,-34.8222,-58.5358
Junín de los Andes,-39.9504,-71.0694
